"","names","idarea","code_muni"
"1","GUAIÇARA",199,3517208
"2","AURIFLAMA",49,3504206
"3","IPAUSSU",242,3520905
"4","HORTOLÂNDIA",220,3519071
"5","BARRA DO TURVO",62,3505401
"6","APARECIDA",28,3502507
"7","OSASCO",390,3534401
"8","BARUERI",65,3505708
"9","ÁLVARO DE CARVALHO",17,3501400
"10","SABINO",503,3544608
"11","TARABAI",604,3553906
"12","BARÃO DE ANTONINA",57,3505005
"13","ESTRELA DO NORTE",177,3515301
"14","PARANAPUÃ",406,3535903
"15","RUBIÁCEA",501,3544400
"16","MORRO AGUDO",359,3531902
"17","RIO GRANDE DA SERRA",496,3544103
"18","LAGOINHA",300,3526308
"19","PRESIDENTE BERNARDES",465,3541208
"20","SALTO",510,3545209
"21","MAUÁ",333,3529401
"22","LINDÓIA",307,3527009
"23","VÁRZEA PAULISTA",637,3556503
"24","CABRÁLIA PAULISTA",95,3508306
"25","MIGUELÓPOLIS",337,3529708
"26","TUPI PAULISTA",620,3555109
"27","IACRI",222,3519204
"28","ARTUR NOGUEIRA",44,3503802
"29","ARUJÁ",45,3503901
"30","GUARAREMA",210,3518305
"31","TUIUTI",618,3554953
"32","BROTAS",91,3507902
"33","ARARAS",38,3503307
"34","SÃO JOÃO DAS DUAS PONTES",552,3549201
"35","ALVINLÂNDIA",18,3501509
"36","INÚBIA PAULISTA",241,3520806
"37","PIRANGI",439,3539004
"38","GABRIEL MONTEIRO",191,3516507
"39","TEJUPÁ",608,3554201
"40","ÁGUAS DE SÃO PEDRO",7,3500600
"41","SERRANA",578,3551504
"42","VALINHOS",632,3556206
"43","ROSANA",499,3544251
"44","GUATAPARÁ",216,3518859
"45","PORANGABA",455,3540507
"46","SÃO FRANCISCO",550,3549003
"47","SANDOVALINA",513,3545506
"48","RANCHARIA",476,3542206
"49","CESÁRIO LANGE",132,3511607
"50","LARANJAL PAULISTA",301,3526407
"51","RIBEIRÃO DO SUL",486,3543204
"52","MIRA ESTRELA",339,3530003
"53","MORUNGABA",360,3532009
"54","CORUMBATAÍ",143,3512704
"55","SANTA ERNESTINA",523,3546504
"56","BARBOSA",58,3505104
"57","COLINA",136,3512001
"58","GUZOLÂNDIA",217,3518909
"59","PARAÍSO",404,3535705
"60","TARUMÃ",605,3553955
"61","ITAPECERICA DA SERRA",257,3522208
"62","QUATÁ",471,3541703
"63","FRANCO DA ROCHA",190,3516408
"64","URU",629,3555901
"65","ÁGUAS DE LINDÓIA",5,3500501
"66","PIRAJUÍ",438,3538907
"67","SEVERÍNIA",581,3551900
"68","ITAJOBI",253,3521903
"69","PEDRANÓPOLIS",418,3536901
"70","BILAC",73,3506409
"71","SANTO ANTÔNIO DO JARDIM",541,3548104
"72","SEBASTIANÓPOLIS DO SUL",575,3551306
"73","MARINÓPOLIS",330,3529104
"74","PIRACICABA",436,3538709
"75","CAJAMAR",104,3509205
"76","LINS",308,3527108
"77","NEVES PAULISTA",367,3532504
"78","TAMBAÚ",596,3553302
"79","GUAREÍ",212,3518503
"80","IPIGUÁ",245,3521150
"81","ARAPEÍ",36,3503158
"82","POTIRENDABA",459,3540804
"83","CÂNDIDO MOTA",115,3510005
"84","ITAJU",254,3522000
"85","ARARAQUARA",37,3503208
"86","PORTO FERREIRA",457,3540705
"87","BERTIOGA",72,3506359
"88","SÃO PEDRO DO TURVO",567,3550506
"89","ITATINGA",271,3523503
"90","PACAEMBU",396,3534906
"91","RIBEIRA",482,3542800
"92","CAIEIRAS",102,3509007
"93","CASTILHO",126,3511003
"94","PRAIA GRANDE",462,3541000
"95","LEME",304,3526704
"96","CABREÚVA",96,3508405
"97","PIQUETE",434,3538501
"98","CERQUILHO",131,3511508
"99","TAUBATÉ",607,3554102
"100","CATANDUVA",127,3511102
"101","NOVA CAMPINA",371,3532827
"102","VOTORANTIM",643,3557006
"103","SANTÓPOLIS DO AGUAPEÍ",544,3548401
"104","TABATINGA",590,3552700
"105","NOVA ALIANÇA",370,3532801
"106","SANTANA DE PARNAÍBA",535,3547304
"107","GUARIBA",213,3518602
"108","PIRACAIA",435,3538600
"109","PAULO DE FARIA",415,3536604
"110","MONTE ALTO",353,3531308
"111","APARECIDA D'OESTE",29,3502606
"112","CRUZEIRO",150,3513405
"113","PANORAMA",401,3535408
"114","GUAÍRA",201,3517406
"115","SÃO JOSÉ DOS CAMPOS",560,3549904
"116","APIAÍ",30,3502705
"117","TAIAÇU",594,3553104
"118","JAGUARIÚNA",283,3524709
"119","LIMEIRA",306,3526902
"120","AVAÍ",50,3504305
"121","ARAMINA",34,3503000
"122","RAFARD",475,3542107
"123","LUCIANÓPOLIS",313,3527504
"124","SANTA SALETE",533,3547650
"125","BOM JESUS DOS PERDÕES",80,3507100
"126","SUZANO",588,3552502
"127","OSCAR BRESSANE",391,3534500
"128","ARCO-ÍRIS",39,3503356
"129","IACANGA",221,3519105
"130","UBATUBA",624,3555406
"131","SÃO SEBASTIÃO",569,3550704
"132","CRISTAIS PAULISTA",148,3513207
"133","DESCALVADO",153,3513702
"134","JÚLIO MESQUITA",294,3525805
"135","JABOTICABAL",279,3524303
"136","JOSÉ BONIFÁCIO",293,3525706
"137","BORÁ",82,3507209
"138","ICÉM",229,3519808
"139","CORDEIRÓPOLIS",140,3512407
"140","SÃO JOSÉ DO BARREIRO",557,3549607
"141","PALMARES PAULISTA",398,3535101
"142","ZACARIAS",645,3557154
"143","SÃO JOSÉ DO RIO PARDO",558,3549706
"144","SANTO ANTÔNIO DE POSSE",539,3548005
"145","FERNANDO PRESTES",180,3515608
"146","TACIBA",592,3552908
"147","TABAPUÃ",589,3552601
"148","SANTANA DA PONTE PENSA",534,3547205
"149","CAJATI",105,3509254
"150","MACATUBA",318,3528007
"151","HOLAMBRA",219,3519055
"152","JUMIRIM",295,3525854
"153","GUARANI D'OESTE",207,3518008
"154","BANANAL",56,3504909
"155","BOCAINA",77,3506805
"156","RIBEIRÃO PIRES",489,3543303
"157","TUPÃ",619,3555000
"158","SALTINHO",509,3545159
"159","AVANHANDAVA",51,3504404
"160","PIRAJU",437,3538808
"161","TRABIJU",615,3554755
"162","SANTA GERTRUDES",525,3546702
"163","ITAPIRA",261,3522604
"164","BENTO DE ABREU",70,3506201
"165","CAJURU",107,3509403
"166","OCAUÇU",383,3533700
"167","AMÉRICO BRASILIENSE",20,3501707
"168","URUPÊS",630,3556008
"169","RIBEIRÃO CORRENTE",485,3543105
"170","MONTE APRAZÍVEL",354,3531407
"171","BASTOS",66,3505807
"172","SÃO LOURENÇO DA SERRA",561,3549953
"173","AMÉRICO DE CAMPOS",21,3501806
"174","CAÇAPAVA",97,3508504
"175","CEDRAL",129,3511300
"176","OSVALDO CRUZ",392,3534609
"177","OURO VERDE",394,3534807
"178","VOTUPORANGA",644,3557105
"179","PAULISTÂNIA",414,3536570
"180","ADAMANTINA",1,3500105
"181","JUNQUEIRÓPOLIS",297,3526001
"182","JACI",281,3524501
"183","ITARIRI",269,3523305
"184","GAVIÃO PEIXOTO",195,3516853
"185","REGINÓPOLIS",479,3542503
"186","PARIQUERA-AÇU",409,3536208
"187","QUADRA",470,3541653
"188","ANGATUBA",25,3502200
"189","VINHEDO",639,3556701
"190","ÁGUAS DE SANTA BÁRBARA",6,3500550
"191","ADOLFO",2,3500204
"192","ARAÇATUBA",32,3502804
"193","EMBU DAS ARTES",169,3515004
"194","TABOÃO DA SERRA",591,3552809
"195","SANTA MERCEDES",529,3547106
"196","SÃO JOAQUIM DA BARRA",555,3549409
"197","PLATINA",446,3539707
"198","JUQUIÁ",298,3526100
"199","OLÍMPIA",385,3533908
"200","MERIDIANO",335,3529609
"201","URÂNIA",628,3555802
"202","MONTE AZUL PAULISTA",355,3531506
"203","MONÇÕES",350,3531001
"204","NOVA CASTILHO",373,3532868
